timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 14:50:57.152954,FRC1,75,49,369,10
2019-07-02 15:05:59.196581,FRC1,77,48,217,17
2019-07-02 15:21:02.671810,FRC1,75,49,75,49
2019-07-02 15:36:04.465637,FRC1,75,49,97,38
2019-07-02 15:51:08.293377,FRC1,77,48,77,48
2019-07-02 16:06:09.639616,FRC1,75,49,108,34
2019-07-02 16:21:11.052638,FRC1,77,48,97,38
2019-07-02 16:36:15.997081,FRC1,75,49,75,49
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:56.185918,FRC1,75,49,99,37
2019-07-02 15:45:57.763152,FRC1,75,49,97,38
2019-07-02 16:00:58.937242,FRC1,77,48,99,37
2019-07-02 16:16:00.370993,FRC1,77,48,102,36
2019-07-02 16:31:01.672669,FRC1,75,49,99,37
2019-07-02 16:46:03.104831,FRC1,75,49,94,39
2019-07-02 17:01:04.256968,FRC1,75,49,105,35
2019-07-02 17:16:06.104772,FRC1,77,48,127,29
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:49.222556,FRC1,75,49,99,37
2019-07-02 15:45:53.924978,FRC1,75,49,97,38
2019-07-02 16:00:55.456041,FRC1,77,48,99,37
2019-07-02 16:15:57.091291,FRC1,77,48,102,36
2019-07-02 16:30:59.186811,FRC1,75,49,99,37
2019-07-02 16:46:03.058475,FRC1,75,49,94,39
2019-07-02 17:01:04.287957,FRC1,75,49,105,35
2019-07-02 17:16:07.761098,FRC1,77,48,127,29
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:31:13.183592,FRC1,75,49,99,37
2019-07-02 15:46:14.816793,FRC1,77,48,97,38
2019-07-02 16:01:16.965755,FRC1,77,48,99,37
2019-07-02 16:16:18.382730,FRC1,77,48,102,36
2019-07-02 16:31:19.552346,FRC1,75,49,99,37
2019-07-02 16:46:21.275434,FRC1,75,49,94,39
2019-07-02 17:01:22.408108,FRC1,75,49,105,35
2019-07-02 17:16:28.456509,FRC1,77,48,127,29
