timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 12:50:34.508325,FRC1,78,34,115,23
2019-07-02 13:05:36.143523,FRC1,78,34,115,23
2019-07-02 13:20:39.665193,FRC1,78,34,132,20
2019-07-02 13:35:43.965579,FRC1,80,33,126,21
2019-07-02 13:50:46.417212,FRC1,80,33,80,33
2019-07-02 14:05:50.637893,FRC1,78,34,110,24
2019-07-02 14:20:52.194150,FRC1,78,34,126,21
2019-07-02 14:35:55.665801,FRC1,78,34,102,26
2019-07-02 14:50:57.165139,FRC1,78,34,139,19
2019-07-02 15:06:00.479145,FRC1,80,33,126,21
2019-07-02 15:21:01.896912,FRC1,80,33,120,22
2019-07-02 15:36:04.477270,FRC1,80,33,120,22
2019-07-02 15:51:08.293243,FRC1,80,33,102,26
2019-07-02 16:06:09.593377,FRC1,78,34,106,25
2019-07-02 16:21:11.052524,FRC1,78,34,115,23
2019-07-02 16:36:12.805873,FRC1,78,34,110,24
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:56.185238,FRC1,78,34,115,23
2019-07-02 15:45:57.715526,FRC1,80,33,110,24
2019-07-02 16:00:58.792012,FRC1,78,34,106,25
2019-07-02 16:16:00.370892,FRC1,78,34,115,23
2019-07-02 16:31:01.741011,FRC1,80,33,126,21
2019-07-02 16:46:03.171613,FRC1,80,33,126,21
2019-07-02 17:01:04.359914,FRC1,80,33,110,24
2019-07-02 17:16:06.745467,FRC1,80,33,120,22
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:49.222418,FRC1,78,34,115,23
2019-07-02 15:45:51.678469,FRC1,80,33,110,24
2019-07-02 16:00:58.256092,FRC1,78,34,106,25
2019-07-02 16:15:59.693909,FRC1,78,34,115,23
2019-07-02 16:31:01.234862,FRC1,80,33,126,21
2019-07-02 16:46:02.608381,FRC1,80,33,126,21
2019-07-02 17:01:03.868827,FRC1,80,33,110,24
2019-07-02 17:16:06.698192,FRC1,80,33,120,22
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:31:13.183367,FRC1,78,34,115,23
2019-07-02 15:46:14.816569,FRC1,78,34,106,25
2019-07-02 16:01:16.756365,FRC1,78,34,106,25
2019-07-02 16:16:18.057373,FRC1,78,34,115,23
2019-07-02 16:31:19.299898,FRC1,80,33,126,21
2019-07-02 16:46:20.750712,FRC1,80,33,126,21
2019-07-02 17:01:21.988053,FRC1,80,33,110,24
2019-07-02 17:16:27.529708,FRC1,80,33,120,22
