newtimestamp,Current Time(seconds),Nox,Nox(target)
8/7/19 7:45,0,104.4,100.6
8/7/19 8:00,0,100.6,90.6
8/7/19 8:15,0,90.6,75.3
8/7/19 8:30,0,75.3,70.2
8/7/19 8:45,0,70.2,60.5
8/7/19 9:00,0,60.5,50.9
8/7/19 9:15,0,50.9,36.7
8/7/19 9:30,0,36.7,24.2
8/7/19 9:45,0,24.2,24.9
8/7/19 10:00,0,24.9,28.3
8/7/19 10:15,0,28.3,31
8/7/19 10:30,0,31,28.7
8/7/19 10:45,0,28.7,32.6
8/7/19 11:00,0,32.6,32.4
8/7/19 11:15,0,32.4,32.4
8/7/19 11:30,0,32.4,32.5
8/7/19 11:45,0,32.5,41
08/07/19 12:00,63,41,35.3
08/07/19 12:15,55,35.3,34.6
08/07/19 12:30,42,34.6,25.6
08/07/19 12:45,0,25.6,22.9
8/7/19 13:00,91,22.9,21.9
8/7/19 13:15,61,21.9,21.2
8/7/19 13:30,59,21.2,19.7
08/07/19 13:45,0,19.7,20.3
08/07/19 14:00,0,20.3,21.9
08/07/19 14:15,0,21.9,24.4
08/07/19 14:30,0,24.4,22.6
08/07/19 14:45,0,22.6,18
08/07/19 15:00,0,18,20.8
08/07/19 15:15,0,20.8,20.5
08/07/19 15:30,0,20.5,20.8
08/07/19 15:45,0,20.8,20.6
08/07/19 16:00,0,20.6,20.4
08/07/19 16:15,0,20.4,23.4
08/07/19 16:30,0,23.4,21.6
08/07/19 16:45,0,21.6,25.3
08/07/19 17:00,0,25.3,21.9
08/07/19 17:15,0,21.9,22.4
08/07/19 17:30,55,22.4,24.6
08/07/19 17:45,59,24.6,26.2
08/07/19 18:00,66,26.2,37.2
08/07/19 18:15,0,37.2,41.3
08/07/19 18:30,82,41.3,43.8
08/07/19 18:45,68,43.8,45.4
8/7/19 19:00,86,45.4,49.2
8/7/19 19:15,66,49.2,55.1
8/7/19 19:30,82,55.1,61.3
8/7/19 19:45,61,61.3,64.2
8/7/19 20:00,78,64.2,59.1
8/7/19 20:15,71,59.1,63.8
8/7/19 20:30,75,63.8,56.4
8/7/19 20:45,53,56.4,35.9
8/7/19 21:00,42,35.9,29.6
8/7/19 21:15,91,29.6,28.2
8/7/19 21:30,127,28.2,29.2
8/7/19 21:45,41,29.2,27.6
8/7/19 22:00,41,27.6,26.1
8/7/19 22:15,53,26.1,26.4
8/7/19 22:30,41,26.4,25.1
8/7/19 22:45,41,25.1,24.2
8/7/19 23:00,41,24.2,25.3
8/7/19 23:15,41,25.3,26.5
8/7/19 23:30,41,26.5,28.8
8/7/19 23:45,41,28.8,29
9/7/19 0:00,41,29,27.9
9/7/19 0:15,41,27.9,24.8
9/7/19 0:30,41,24.8,23.9
9/7/19 0:45,41,23.9,26.2
9/7/19 1:00,41,26.2,28.4
9/7/19 1:15,41,28.4,25
9/7/19 1:30,41,25,22.9
9/7/19 1:45,41,22.9,NaN
9/7/19 2:00,41,NaN,NaN
9/7/19 2:15,41,NaN,19.1
9/7/19 2:30,41,19.1,20.4
9/7/19 2:45,41,20.4,19.1
9/7/19 3:00,41,19.1,19.2
9/7/19 3:15,41,19.2,21
9/7/19 3:30,41,21,22.2
9/7/19 3:45,41,22.2,22.7
9/7/19 4:00,41,22.7,25.6
9/7/19 4:15,41,25.6,28.9
9/7/19 4:30,41,28.9,27
9/7/19 4:45,41,27,25.1
9/7/19 5:00,41,25.1,25.1
9/7/19 5:15,41,25.1,26.9
9/7/19 5:30,41,26.9,28.2
9/7/19 5:45,41,28.2,27.6
9/7/19 6:00,41,27.6,32.3
9/7/19 6:15,41,32.3,33.2
9/7/19 6:30,41,33.2,33.6
9/7/19 6:45,41,33.6,42.1
9/7/19 7:00,41,42.1,39.1
9/7/19 7:15,41,39.1,37.2
9/7/19 7:30,41,37.2,46.7
9/7/19 7:45,41,46.7,49
9/7/19 8:00,41,49,55.4
9/7/19 8:15,41,55.4,49.2
9/7/19 8:30,41,49.2,41.9
9/7/19 8:45,42,41.9,39.3
9/7/19 9:00,55,39.3,39.4
09/07/19 9:15,0,39.4,41.9
09/07/19 9:30,0,41.9,36.5
09/07/19 9:45,0,36.5,42.5
09/07/19 10:00,0,42.5,38.3
09/07/19 10:15,0,38.3,26.7
09/07/19 10:30,0,26.7,25.1
09/07/19 10:45,0,25.1,28
09/07/19 11:00,0,28,32.9
09/07/19 11:15,0,32.9,28.8
09/07/19 11:30,0,28.8,25.1
09/07/19 11:45,0,25.1,21.4
